日期	类型	数量
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/18	产品B	1784
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/18	产品C	1117
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/19	产品B	1755
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/19	产品C	1141
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1279
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1762
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/21	产品A	1341
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/21	产品B	1609
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/21	产品C	1153
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/22	产品A	1326
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/22	产品B	1746
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/22	产品C	1158
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/23	产品A	1337
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/23	产品B	1626
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/24	产品A	1417
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/24	产品B	1752
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/24	产品C	1186
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/25	产品A	1460
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/25	产品B	1697
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/26	产品A	1501
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/26	产品B	1752
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/26	产品C	1139
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/27	产品A	1459
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/27	产品B	1704
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/28	产品B	1746
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/28	产品C	1188
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/29	产品A	15[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/29	产品B	1678
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/29	产品C	1194
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/30	产品A	1412
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/30	产品B	1659
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/30	产品C	1165
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/1	产品A	1496
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/1	产品B	1798
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/1	产品C	1110
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/2	产品A	1575
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/2	产品B	1727
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/2	产品C	1077
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/3	产品A	1541
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/3	产品C	1139
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/4	产品A	1486
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/4	产品B	1867
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/5	产品A	1533
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/5	产品B	1758
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/5	产品C	1077
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/6	产品A	1377
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/6	产品C	1085
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/7	产品B	1808
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/7	产品C	1112
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/8	产品A	1270
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/8	产品B	1707
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/8	产品C	1131
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/9	产品A	1529
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/9	产品B	1759
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/9	产品C	1116
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/10	产品A	1555
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/10	产品B	1853
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/10	产品C	1095
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/11	产品A	1342
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/11	产品B	1770
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/11	产品C	1112
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/12	产品A	1329
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/12	产品B	1754
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/12	产品C	1106
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/13	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬9
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/13	产品B	1751
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/13	产品C	1122
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/14	产品A	1445
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/14	产品B	1718
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/14	产品C	1082
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/15	产品A	1567
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/15	产品C	1062
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/16	产品A	1232
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/16	产品C	1088
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/17	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬4
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/17	产品B	1766
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/17	产品C	1122
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/18	产品A	1525
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/18	产品B	1851
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/18	产品C	1095
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/19	产品A	1373
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/19	产品B	1712
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/19	产品C	1110
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1560
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/21	产品B	1889
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/21	产品C	1113
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/22	产品B	1868
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/22	产品C	1076
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/23	产品A	1305
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/23	产品B	1827
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/23	产品C	1106
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/24	产品A	1545
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/25	产品A	1385
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/25	产品B	1872
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/25	产品C	1073
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/26	产品A	1459
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/26	产品C	1053
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/27	产品A	1458
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/27	产品B	1777
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/28	产品B	1887
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/28	产品C	1147
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/29	产品B	1743
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/29	产品C	1149
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/30	产品A	1485
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/30	产品B	1889
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/30	产品C	1081
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/31	产品A	1328
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/10/31	产品B	1793
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/1	产品A	1211
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/1	产品B	1857
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/1	产品C	1097
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/2	产品A	1304
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/2	产品B	1831
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/2	产品C	1068
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/3	产品A	1211
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/3	产品B	1853
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/3	产品C	1098
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/4	产品A	1542
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/4	产品B	1907
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/5	产品A	1559
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/5	产品B	1992
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/5	产品C	1046
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/6	产品A	1441
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/6	产品B	1898
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/6	产品C	1052
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/7	产品A	1303
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/7	产品B	1865
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/8	产品A	1335
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/8	产品B	1834
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/8	产品C	1016
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/9	产品A	1379
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/9	产品B	1872
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/9	产品C	1075
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/10	产品B	1844
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/11	产品B	1958
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/11	产品C	1092
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/12	产品A	1398
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/12	产品C	1047
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/13	产品A	1569
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/13	产品B	1890
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/13	产品C	1099
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/14	产品A	1246
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/14	产品B	1894
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/15	产品A	1401
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/15	产品B	1877
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/15	产品C	1081
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/16	产品B	1925
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/16	产品C	1038
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/17	产品A	1266
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/17	产品B	1899
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/17	产品C	1022
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/18	产品A	1556
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/18	产品B	1849
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/18	产品C	1095
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/19	产品A	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/19	产品B	1900
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/19	产品C	1072
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1425
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1026
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/21	产品A	12[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/21	产品B	1951
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/22	产品A	1272
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/22	产品B	1866
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/22	产品C	1036
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/23	产品C	1013
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/24	产品B	1937
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/24	产品C	1066
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/25	产品A	1221
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/25	产品B	1830
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/25	产品C	1066
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/26	产品A	1324
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/26	产品B	1979
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/26	产品C	1060
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/27	产品A	1235
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/27	产品B	1867
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/27	产品C	1012
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/28	产品A	1314
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/28	产品B	1943
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/28	产品C	1019
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/29	产品A	1357
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/29	产品C	1032
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/30	产品A	1453
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/30	产品B	1850
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/11/30	产品C	1096
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/1	产品A	1600
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/1	产品B	1966
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/1	产品C	1024
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/2	产品A	1465
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/2	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬69
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/2	产品C	977
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/3	产品A	1454
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/3	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬81
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/3	产品C	995
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/4	产品A	1413
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/5	产品A	1342
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/5	产品B	1911
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/5	产品C	952
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/6	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬75
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/6	产品C	992
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/7	产品B	1924
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/7	产品C	1034
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/8	产品A	1559
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/8	产品B	1922
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/8	产品C	1006
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/9	产品A	1214
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/9	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬74
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/9	产品C	982
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/10	产品A	1300
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/10	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬45
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/10	产品C	1006
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/11	产品A	1231
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/11	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬18
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/11	产品C	955
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/12	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬9
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/12	产品C	984
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/13	产品A	1406
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/13	产品C	1016
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/14	产品A	1570
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/14	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬02
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/14	产品C	1013
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/15	产品A	1374
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/15	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬67
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/16	产品B	1949
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/16	产品C	1035
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/17	产品A	1236
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/17	产品C	976
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/18	产品A	1519
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/18	产品B	2100
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/18	产品C	1004
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/19	产品A	1428
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/19	产品B	1919
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/19	产品C	966
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1213
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1975
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	977
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/21	产品A	1450
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/21	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬58
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/21	产品C	1000
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/22	产品A	1566
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/22	产品B	1938
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/22	产品C	1025
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/23	产品A	1596
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/23	产品B	1936
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/23	产品C	1015
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/24	产品A	1393
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/24	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬06
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/24	产品C	1026
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/25	产品B	2100
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/25	产品C	987
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/26	产品A	1531
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/26	产品C	1044
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/27	产品A	1338
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/27	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬17
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/27	产品C	1008
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/28	产品A	1266
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/28	产品C	1031
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/29	产品A	1235
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/29	产品B	[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬41
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/29	产品C	1036
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/30	产品A	1383
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/30	产品B	1935
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/30	产品C	987
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/12/31	产品C	959
